Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
Exemplar	AppsTest		LicensedInputDate	AppsTest	N	Date	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputDateTime	AppsTest	N	DateTime	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputInteger	AppsTest	N	Integer	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputMoney	AppsTest	N	Money	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputQuantity	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputQuantitySingle	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputReference	AppsTest	N	Reference	Input		ABCCode	Mfg	Exemplars	AppsTest	Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputString	AppsTest	N	String	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		LicensedInputTime	AppsTest	N	Time	Input						Delete record	Y	N	LicenseAppsTest
Exemplar	AppsTest		MissingInputBoolean	AppsTest	N	Enum	Input	'N'	Bool	System			Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputDate	AppsTest	N	Date	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputDateTime	AppsTest	N	DateTime	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputInteger	AppsTest	N	Integer	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputMoney	AppsTest	N	Money	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputQuantity	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputQuantitySingle	AppsTest	N	Quantity	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputReference	AppsTest	N	Reference	Input		Part	Mfg	Exemplars	AppsTest	Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputString	AppsTest	N	String	Input						Delete record	Y	N	LicenseNeverExists
Exemplar	AppsTest		MissingInputTime	AppsTest	N	Time	Input						Delete record	Y	N	LicenseNeverExists
Exemplar_InputNote	AppsTest		Exemplar	AppsTest	N	Reference	Input		Exemplar	AppsTest	InputNote	AppsTest	Delete record	Y	Y
Exemplar_InputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	Y	Y
Exemplar_InputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	Y	Y
Exemplar_InputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	Y	Y
Exemplar_LicensedInputNote	AppsTest		Exemplar	AppsTest	N	Reference	Input		Exemplar	AppsTest	LicensedInputNote	AppsTest	Delete record	Y	Y
Exemplar_LicensedInputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	Y	Y
Exemplar_LicensedInputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	Y	Y
Exemplar_LicensedInputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	Y	Y
