Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
EngineeringChange	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		AnalysisParameters	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		Originator	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		Reason	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		Site	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange	Mfg		Type	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange_Notes	Mfg		EngineeringChange	Mfg	N	Reference	Input		EngineeringChange	Mfg	Notes	Mfg	Delete record	Y	Y
EngineeringChange_Notes	Mfg		Timestamp	Mfg	N	DateTime	Input						Delete record	Y	Y
EngineeringChange_Notes	Mfg		UserId	Mfg	N	String	Input						Delete record	Y	Y
EngineeringChange_Notes	Mfg		Value	Mfg	N	String	Input						Delete record	Y	Y
Event	Mfg		Name	Mfg	Y	String	Input						Delete record	Y	Y
Event	Mfg		CreationDate	Mfg	N	Date	Input						Delete record	Y	Y
Event	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
Event	Mfg		PlannerCode	Mfg	N	Reference	Input		PlannerCode	Mfg	Events	Mfg	Delete record	Y	Y
Event	Mfg		Type	Mfg	N	Reference	Input		EventType	Mfg	Events	Mfg	Delete record	Y	Y
EventPhase	Mfg		AdjustmentType	Mfg	Y	Enum	Input		EventAdjustmentType	Mfg			Delete record	Y	Y
EventPhase	Mfg		Event	Mfg	Y	Reference	Input		Event	Mfg	EventPhases	Mfg	Delete record	Y	Y
EventPhase	Mfg		Name	Mfg	Y	String	Input						Delete record	Y	Y
EventPhase	Mfg		ActionType	Mfg	N	Enum	Input		EventActionType	Mfg			Delete record	Y	Y
EventPhase	Mfg		Calendar	Mfg	N	Reference	Input		Calendar	Core	EventPhasesCalendar	Mfg	Delete record	Y	Y
EventPhase	Mfg		Category	Mfg	N	Reference	Input		HistoricalDemandCategory	Mfg	EventPhases	Mfg	Delete record	Y	Y
EventPhase	Mfg		CompoundingCalendar	Mfg	N	Reference	Input		Calendar	Core	EventPhasesCompoundingCalendar	Mfg	Delete record	Y	Y
EventPhase	Mfg		CompoundingIntervalCount	Mfg	N	Integer	Input	1					Delete record	Y	Y
EventPhase	Mfg		CreationDate	Mfg	N	Date	Input						Delete record	Y	Y
EventPhase	Mfg		CurveParameters	Mfg	N	Reference	Input		CurveParameters	Mfg	EventPhases	Mfg	Delete record	Y	Y
EventPhase	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
EventPhase	Mfg		EndDate	Mfg	N	Date	Input						Delete record	Y	Y
EventPhase	Mfg		Percent	Mfg	N	Quantity	Input						Delete record	Y	Y
EventPhase	Mfg		Quantity	Mfg	N	Quantity	Input						Delete record	Y	Y
EventPhase	Mfg		StartDate	Mfg	N	Date	Input						Delete record	Y	Y
EventPhase	Mfg		UsageRule	Mfg	N	Enum	Input		EventPhaseUsageRule	Mfg			Delete record	Y	Y
EventPhaseHeader	Mfg		EventPhase	Mfg	Y	Reference	Input		EventPhase	Mfg	EventPhaseHeaders	Mfg	Delete record	Y	Y
EventPhaseHeader	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	EventPhaseHeaders	Mfg	Delete record	Y	Y
EventPhaseHeader	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
EventType	Mfg		Value	Mfg	Y	String	Input						Delete record	Y	Y
EventType	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
ExpiryType	Mfg		ControlSet	Mfg	Y	Reference	Input		ControlSet	Core	ExpiryTypes	Mfg	Delete record	Y	Y
ExpiryType	Mfg		Value	Mfg	Y	String	Input						Delete record	Y	Y
ExpiryType	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
ExpiryType	Mfg		ProcessingRule	Mfg	N	Enum	Input		PartExpiryTypeProcessingRule	Mfg			Delete record	Y	Y
Feature	Mfg		Value	Mfg	Y	String	Input						Delete record	Y	Y
Feature	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
FeatureMap	Mfg		Basekey	Mfg	Y	String	Input						Delete record	Y	Y
FeatureMap	Mfg		EffectiveInDate	Mfg	N	Date	Input						Delete record	Y	Y
FeatureMap	Mfg		EffectiveOutDate	Mfg	N	Date	Input						Delete record	Y	Y
FeatureMap	Mfg		FromRule	Mfg	N	String	Input						Delete record	Y	Y
FeatureMap	Mfg		Part	Mfg	N	Reference	Input		Part	Mfg	FeatureMaps	Mfg	Delete record	Y	Y
FeatureMap	Mfg		Sequence	Mfg	N	Integer	Input						Delete record	Y	Y
FeatureMap	Mfg		ToFeature	Mfg	N	Reference	Input		Feature	Mfg	ToFeatures	Mfg	Delete record	Y	Y
ForecastDetail	Mfg		Date	Mfg	Y	Date	Input						Delete record	Y	Y
ForecastDetail	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	ForecastDetails	Mfg	Delete record	Y	Y
ForecastDetail	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
ForecastDetail	Mfg		ProtectQuantity	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
ForecastDetail	Mfg		Quantity	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastDetail	Mfg		UnitPrice	Mfg	N	Money	Input	-1.0					Delete record	Y	Y
ForecastDetail	Mfg		Value	Mfg	N	Money	Input						Delete record	Y	Y
ForecastDisaggregationOverride	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	ForecastDisaggregationOverrides	Mfg	Delete record	Y	Y
ForecastDisaggregationOverride	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
ForecastDisaggregationOverride	Mfg		Date	Mfg	N	Date	Input						Delete record	Y	Y
ForecastDisaggregationOverride	Mfg		Quantity	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	ForecastDisaggregationParameters	Mfg	Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		ActualsCategory	Mfg	N	Reference	Input		HistoricalDemandCategory	Mfg	ForecastDisaggregationParametersActualsCategories	Mfg	Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		HistoricalIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		InnerCalendar	Mfg	N	Reference	Input	[] { Value }	Calendar	Core	ForecastDisaggregationParametersInnerCalendars	Mfg	Delete record	Y	Y
ForecastDisaggregationParameters	Mfg		OuterCalendar	Mfg	N	Reference	Input	[] { Value }	Calendar	Core	ForecastDisaggregationParametersOuterCalendars	Mfg	Delete record	Y	Y
ForecastDisaggregationParametersByCategory	Mfg		Category	Mfg	Y	Reference	Input		HistoricalDemandCategory	Mfg	ForecastDisaggregationParametersByCategory	Mfg	Delete record	Y	Y
ForecastDisaggregationParametersByCategory	Mfg		ActualsCategory	Mfg	N	Reference	Input		HistoricalDemandCategory	Mfg	ForecastDisaggregationParametersByActualsCategory	Mfg	Delete record	Y	Y
ForecastDisaggregationParametersByCategory	Mfg		HistoricalIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastDisaggregationParametersByCategory	Mfg		InnerCalendar	Mfg	N	Reference	Input	[] { Value }	Calendar	Core	ForecastDisaggregationParametersByCategoryInnerCalendars	Mfg	Delete record	Y	Y
ForecastDisaggregationParametersByCategory	Mfg		OuterCalendar	Mfg	N	Reference	Input	[] { Value }	Calendar	Core	ForecastDisaggregationParametersByCategoryOuterCalendars	Mfg	Delete record	Y	Y
ForecastItem	Mfg		Path	Mfg	Y	String	Input						Delete record	Y	Y
ForecastItem	Mfg		FilterExpression	Mfg	N	String	Input						Delete record	Y	Y
ForecastItem	Mfg		PathExpression	Mfg	N	String	Input						Delete record	Y	Y
ForecastItem	Mfg		PathLevels	Mfg	N	String	Input						Delete record	Y	Y
ForecastItem	Mfg		UsageRule	Mfg	N	Enum	Input		ForecastItemUsageRule	Mfg			Delete record	Y	Y
ForecastItemFitOutput	Mfg		ItemParameters	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	FitOutput	Mfg	Delete record	Y	Y
ForecastItemFitOutput	Mfg		ParameterName	Mfg	Y	String	Input						Delete record	Y	Y
ForecastItemFitOutput	Mfg		Class	Mfg	N	Enum	Input		ForecastItemFitOutputParameterClass	Mfg			Delete record	Y	Y
ForecastItemFitOutput	Mfg		ForecastModel	Mfg	N	Enum	Input		ForecastModel	Mfg			Delete record	Y	Y
ForecastItemFitOutput	Mfg		ParameterValue	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		ForecastCategory	Mfg	Y	Reference	Input		HistoricalDemandCategory	Mfg	ForecastItemParametersForecastCategories	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		Item	Mfg	Y	Reference	Input		ForecastItem	Mfg	Parameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		ActualsCategory	Mfg	N	Reference	Input		HistoricalDemandCategory	Mfg	ForecastItemParametersActualsCategories	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		AttachToRegressors	Solutions	N	Enum	Input		Bool	System			Delete record	Y	Y
ForecastItemParameters	Mfg		AutoRegressiveTerms	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		BaseQuantity	Mfg	N	Quantity	Input	0					Delete record	Y	Y
ForecastItemParameters	Mfg		BestFitForecastLag	Mfg	N	Integer	Input	1					Delete record	Y	Y
ForecastItemParameters	Mfg		BestFitHoldoutPeriodIntervalCount	Mfg	N	Integer	Input	0					Delete record	Y	Y
ForecastItemParameters	Mfg		BestFitProfile	Mfg	N	Reference	Input		BestFitProfile	Mfg	ForecastItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		BestFitProfileDetail	Mfg	N	Reference	Input		BestFitProfileDetail	Mfg	ForecastItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		ConfidenceLevel	Mfg	N	Quantity	Input	-1.0					Delete record	Y	Y
ForecastItemParameters	Mfg		Constant	Mfg	N	Enum	Input		ForecastItemParametersConstantUsage	Mfg			Delete record	Y	Y
ForecastItemParameters	Mfg		DifferenceLevel	Mfg	N	Integer	Input	-1					Delete record	Y	Y
ForecastItemParameters	Mfg		ElasticNetParameter	Mfg	N	Quantity	Input	1					Delete record	Y	Y
ForecastItemParameters	Mfg		ForecastIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		ForecastProfile	Mfg	N	Reference	Input		PointsProfile	Mfg	ForecastItemParametersForecastProfiles	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		HistoricalIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		HistorySkipLeadingZeros	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
ForecastItemParameters	Mfg		HistoryStartDate	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		IgnoreBestFitProfileDetailParameters	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
ForecastItemParameters	Mfg		ImportedStatisticalForecasts	Mfg	N	CompoundVector	Input		ImportedStatisticalForecast	Mfg	ItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		MovingAverageIntervalCount	Mfg	N	Integer	Input	-1					Delete record	Y	Y
ForecastItemParameters	Mfg		MovingAverageTerms	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		MultiStepCount	Mfg	N	Integer	Input	0					Delete record	Y	Y
ForecastItemParameters	Mfg		MultiStepHoldoutPeriodIntervalCount	Mfg	N	Integer	Input	0					Delete record	Y	Y
ForecastItemParameters	Mfg		MultiStepOffset	Mfg	N	Integer	Input	1					Delete record	Y	Y
ForecastItemParameters	Mfg		OutlierMovingAverageWindow	Mfg	N	Integer	Input	3					Delete record	Y	Y
ForecastItemParameters	Mfg		OutlierSmoothingAfterIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		OutlierSmoothingBeforeIntervalCount	Mfg	N	Integer	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		OutlierThreshold	Mfg	N	Quantity	Input	3.0					Delete record	Y	Y
ForecastItemParameters	Mfg		OutlierType	Mfg	N	Reference	Input		OutlierType	Mfg	ForecastItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		ProfileStartDate	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		RegressionModel	Mfg	N	Reference	Input		RegressionModel	Mfg	ForecastItemParameters	Mfg	Retain record, field = Null	Y	Y
ForecastItemParameters	Mfg		RegularizationParameter	Mfg	N	Quantity	Input	-1					Delete record	Y	Y
ForecastItemParameters	Mfg		ResidualAutocorrelationConfidenceLevel	Mfg	N	Quantity	Input	0.95					Delete record	Y	Y
ForecastItemParameters	Mfg		Reviewed	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
ForecastItemParameters	Mfg		RollingErrorIntervalCount	Mfg	N	Integer	Input	3					Delete record	Y	Y
ForecastItemParameters	Mfg		RParameterSet	Mfg	N	Reference	Input		RParameterSet	Mfg	ForecastItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		ScalingFactor	Mfg	N	Quantity	Input	1					Delete record	Y	Y
ForecastItemParameters	Mfg		SeasonalIntervalCount	Mfg	N	Integer	Input	-1					Delete record	Y	Y
ForecastItemParameters	Mfg		StartDate	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		StopDate	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParameters	Mfg		TrendDecayFactor	Mfg	N	Quantity	Input	1.0					Delete record	Y	Y
ForecastItemParameters	Mfg		Type	Mfg	N	Reference	Input	'Default'	ForecastItemParametersType	Mfg	ForecastItemParameters	Mfg	Delete record	Y	Y
ForecastItemParameters	Mfg		UnitOfMeasure	Mfg	N	Reference	Input		UnitOfMeasure	Mfg	ForecastItemParameterUOMs	Mfg	Retain record, field = Null	Y	Y
ForecastItemParameters	Mfg		UseOwnDemand	Mfg	N	Enum	Input		ForecastItemParametersOwnDemand	Mfg			Delete record	Y	Y
ForecastItemParameters	Mfg		WeightsDecayFactor	Mfg	N	Quantity	Input	1.0					Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		Index	Mfg	Y	Integer	Input						Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ItemParameters	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	ForecastItemParametersFitOutputs	Mfg	Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		BestFitProfileDetail	Mfg	N	Reference	Input		BestFitProfileDetail	Mfg	ForecastItemParametersFitOutputs	Mfg	Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		Class	Mfg	N	Enum	Input		ForecastItemFitOutputParameterClass	Mfg			Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ForecastModel	Mfg	N	Enum	Input		ForecastModel	Mfg			Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ValueDate	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ValueName	Mfg	N	Enum	Input		StatisticalForecastFitOutputValueName	Mfg			Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ValueQuantity	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ValueText	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParametersFitOutput	Mfg		ValueType	Mfg	N	Enum	Input		StatisticalForecastFitOutputValueType	Mfg			Delete record	Y	Y
ForecastItemParametersMap	Mfg		Item	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	ForecastItemParametersMaps	Mfg	Delete record	Y	Y
ForecastItemParametersMap	Mfg		ReferenceItem	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	ForecastItemParametersReferenceMaps	Mfg	Delete record	Y	Y
ForecastItemParametersMap	Mfg		Lag	Mfg	N	Integer	Input	0					Delete record	Y	Y
ForecastItemParametersMap	Mfg		Multiplier	Mfg	N	Quantity	Input	1					Delete record	Y	Y
ForecastItemParametersOutlier	Mfg		ForecastItemParameters	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	Outliers	Mfg	Delete record	Y	Y
ForecastItemParametersOutlier	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
ForecastItemParametersOutlier	Mfg		Date	Mfg	N	Date	Input						Delete record	Y	Y
ForecastItemParametersOutlier	Mfg		ProcessingRule	Mfg	N	Enum	Input		ForecastItemParametersOutlierProcessingRule	Mfg			Delete record	Y	Y
ForecastItemParametersOutlier	Mfg		Quantity	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersOutlier_Notes	Mfg		ForecastItemParametersOutlier	Mfg	N	Reference	Input		ForecastItemParametersOutlier	Mfg	Notes	Mfg	Delete record	Y	Y
ForecastItemParametersOutlier_Notes	Mfg		Timestamp	Mfg	N	DateTime	Input						Delete record	Y	Y
ForecastItemParametersOutlier_Notes	Mfg		UserId	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParametersOutlier_Notes	Mfg		Value	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		ItemParameters	Mfg	Y	Reference	Input		ForecastItemParameters	Mfg	ForecastItemParametersRegressionCoefficients	Mfg	Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		Name	Mfg	Y	String	Input						Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		Estimate	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		pValue	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		StandardError	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersRegressionCoefficient	Mfg		tStatistic	Mfg	N	Quantity	Input						Delete record	Y	Y
ForecastItemParametersType	Mfg		ControlSet	Mfg	Y	Reference	Input		ControlSet	Core	ForecastItemParametersTypes	Mfg	Delete record	Y	Y
ForecastItemParametersType	Mfg		Value	Mfg	Y	String	Input	*					Delete record	Y	Y
ForecastItemParametersType	Mfg		CrostonsPredictRule	Mfg	N	Enum	Input		ForecastItemParametersCrostonsPredictRule	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
ForecastItemParametersType	Mfg		DisaggregationActualsCategoryRule	Mfg	N	Enum	Input		ForecastItemParametersDisaggregationActualsCategoryRule	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		FitMeasure	Mfg	N	Enum	Input		ForecastItemParametersFitMeasure	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		ForecastModel	Mfg	N	Enum	Input		ForecastModel	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		HoldoutPeriodUsageRule	Mfg	N	Enum	Input		HoldoutPeriodUsageRule	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		IntervalsCalendar	Mfg	N	Reference	Input	[] { Value }	Calendar	Core	ForecastItemParametersTypes	Mfg	Delete record	Y	Y
ForecastItemParametersType	Mfg		ModelConstantUsage	Mfg	N	Enum	Input		ForecastItemFitOutputUsage	Mfg			Delete record	Y	Y
ForecastItemParametersType	Mfg		TrendDecayFactorRule	Mfg	N	Enum	Input		ForecastItemParametersTrendDecayFactorRule	Mfg			Delete record	Y	Y
GroupPlanningPolicy	Mfg		ControlSet	Mfg	Y	Reference	Input		ControlSet	Core	GroupPlanningPolicies	Mfg	Delete record	N	?
GroupPlanningPolicy	Mfg		Value	Mfg	Y	String	Input						Delete record	N	?
GroupPlanningPolicy	Mfg		Description	Mfg	N	String	Input						Delete record	N	?
GroupPlanningPolicy	Mfg		GroupingCalendar	Mfg	N	Reference	Input		Calendar	Core	GroupPlanningPolicies	Mfg	Delete record	N	?
GroupPlanningPolicy	Mfg		MinimumQtyRule	Mfg	N	Enum	Input		GroupPlanningMinimumQtyRule	Mfg			Delete record	N	?
GroupPlanningPolicy	Mfg		MultipleQtyRule	Mfg	N	Enum	Input		GroupPlanningMultipleQtyRule	Mfg			Delete record	N	?
GroupPlanningPolicy	Mfg		PartSourceSelectionRule	Mfg	N	Enum	Input		GroupPlanningPSSelectionRule	Mfg			Delete record	N	?
GroupPlanningPolicy	Mfg		ProcessingRule	Mfg	N	Enum	Input		GroupPlanningProcessingRule	Mfg			Delete record	N	?
GroupPlanningPolicy	Mfg		ToleranceRule	Mfg	N	Enum	Input		GroupPlanningToleranceRule	Mfg			Delete record	N	?
HistoricalDemandActual	Mfg		Date	Mfg	Y	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	Actuals	Mfg	Delete record	Y	Y
HistoricalDemandActual	Mfg		ActualReceiptDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		ActualShipDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		AutoCommitHorizonDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		CommitDate	Mfg	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		CustomerChanges	Solutions	N	String	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		CustomerRequestDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		DeliveryRoute	Solutions	N	Reference	Input		DeliveryRoute	Mfg	HistoricalDemandActuals	Solutions	Retain record, field = Null	Y	Y
HistoricalDemandActual	Mfg		DwellTime	Solutions	N	Integer	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		FrozenHorizonDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		Line	Solutions	N	String	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		LineCreatedDate	Solutions	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		LineQuantity	Solutions	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		NumberOfCustomerChanges	Solutions	N	Integer	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		NumberOfSupplyChanges	Solutions	N	Integer	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		Order	Solutions	N	Reference	Input		HistoricalDemandOrder	Solutions	HistoricalDemandActuals	Solutions	Retain record, field = Null	Y	Y
HistoricalDemandActual	Mfg		OrderCreation	Solutions	N	DateTime	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		OrderPromisedDateTime	Solutions	N	DateTime	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		OrderQuantity	Solutions	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		Quantity	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		RequestDate	Mfg	N	Date	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		Route	Solutions	N	String	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		ShipSet	Solutions	N	String	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		SupplyChanges	Solutions	N	String	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		UnitCost	Mfg	N	Money	Input						Delete record	Y	Y
HistoricalDemandActual	Mfg		UnitPrice	Mfg	N	Money	Input	0					Delete record	Y	Y
HistoricalDemandCategory	Mfg		Value	Mfg	Y	String	Input						Delete record	Y	Y
HistoricalDemandCategory	Mfg		ConsensusForecastWeight	Mfg	N	Quantity	Input	0					Delete record	Y	Y
HistoricalDemandCategory	Mfg		CriticalLimit	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandCategory	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
HistoricalDemandCategory	Mfg		DesiredResults	Mfg	N	Enum	Input		HistoricalDemandDesiredResultsType	Mfg			Delete record	Y	Y
HistoricalDemandCategory	Mfg		Type	Mfg	N	Reference	Input	[]{? Value='Default' 0 1, Value}	HistoricalDemandCategoryType	Mfg	HistoricalDemandCategories	Mfg	Delete record	Y	Y
HistoricalDemandCategory	Mfg		WarningLimit	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandCategoryRollingWeight	Mfg		Category	Mfg	Y	Reference	Input		HistoricalDemandCategory	Mfg	RollingWeights	Mfg	Delete record	Y	Y
HistoricalDemandCategoryRollingWeight	Mfg		Horizon	Mfg	Y	Reference	Input		ConsensusForecastRollingHorizon	Mfg	CategoryWeights	Mfg	Delete record	Y	Y
HistoricalDemandCategoryRollingWeight	Mfg		ConsensusForecastWeight	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		Value	Mfg	Y	String	Input	'Default'					Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		AggregationRule	Mfg	N	Enum	Input		HistoricalDemandCategoryAggregationRule	Mfg			Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		Description	Mfg	N	String	Input						Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		DisaggregationQuantityRule	Mfg	N	Enum	Input		HistoricalDemandDisaggregationQuantityRule	Mfg			Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		EventAllowNegative	Mfg	N	Enum	Input		Bool	System			Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		ProcessingRule	Mfg	N	Enum	Input		HistoricalDemandCategoryProcessingRule	Mfg			Delete record	Y	Y
HistoricalDemandCategoryType	Mfg		UnitType	Mfg	N	Enum	Input		HistoricalDemandCategoryUnitType	Mfg			Delete record	Y	Y
HistoricalDemandHeader	Mfg		Category	Mfg	Y	Reference	Input		HistoricalDemandCategory	Mfg	HistoricalDemandHeaders	Mfg	Delete record	Y	Y
HistoricalDemandHeader	Mfg		PartCustomer	Mfg	Y	Reference	Input		PartCustomer	Mfg	HistoricalDemandHeaders	Mfg	Delete record	Y	Y
HistoricalDemandHeader	Mfg		Actuals	Mfg	N	CompoundVector	Input		HistoricalDemandActual	Mfg	Header	Mfg	Delete record	Y	Y
HistoricalDemandHeader	Mfg		ConsensusForecastWeight	Mfg	N	Quantity	Input	-1					Delete record	Y	Y
HistoricalDemandHeader	Mfg		ForecastDetails	Mfg	N	CompoundVector	Input		ForecastDetail	Mfg	Header	Mfg	Delete record	Y	Y
HistoricalDemandHeaderRollingWeight	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	RollingWeights	Mfg	Delete record	Y	Y
HistoricalDemandHeaderRollingWeight	Mfg		Horizon	Mfg	Y	Reference	Input		ConsensusForecastRollingHorizon	Mfg	HeaderWeights	Mfg	Delete record	Y	Y
HistoricalDemandHeaderRollingWeight	Mfg		ConsensusForecastWeight	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandHeaderTimePhasedAttributes	Mfg		Header	Mfg	Y	Reference	Input		HistoricalDemandHeader	Mfg	TimePhasedAttributes	Mfg	Delete record	Y	Y
HistoricalDemandHeaderTimePhasedAttributes	Mfg		Id	Mfg	Y	String	Input						Delete record	Y	Y
HistoricalDemandHeaderTimePhasedAttributes	Mfg		ConsensusForecastWeight	Mfg	N	Quantity	Input						Delete record	Y	Y
HistoricalDemandHeaderTimePhasedAttributes	Mfg		EffectiveInDate	Mfg	N	Date	Input						Delete record	Y	Y
