Table	Namespace	Type	Keyed	Historical	Vector	Delete Records	Record Creation	in Worksheets	Identification Fields	Present	List
AffectedRecord	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::Exception,Exceptions::TableQualifiedName,Exceptions::AffectedRecordId	Y	CommandControlCenterFoundation
Category	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::Value	Y	CommandControlCenterFoundation
Exception	Exceptions	Input	Y	N	N	Y	N	N	Exceptions::Id	Y	CommandControlCenterFoundation
Impact	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::Exception,Exceptions::Id	Y	CommandControlCenterFoundation
ReasonCode	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::Value	Y	CommandControlCenterFoundation
Resolution	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::Exception,Exceptions::Id	Y	CommandControlCenterFoundation
ResolutionMetric	Exceptions	Input	Y	N	N	Y	Y	N	Exceptions::MetricName,Exceptions::Resolution	Y	CommandControlCenterFoundation
Severity	Exceptions	Input	Y	N	N	Y	Y	Y	Exceptions::Value	Y	CommandControlCenterFoundation
Status	Exceptions	Input	Y	N	N	Y	Y	Y	Exceptions::Value	Y	CommandControlCenterFoundation
Type	Exceptions	Input	Y	N	N	Y	Y	Y	Exceptions::Value	Y	CommandControlCenterFoundation
ABCCode	Mfg	Input	Y	N	N	Y	N	Y		Y
Activity	Mfg	Calculated	N	N	N	Y	N	N		Y
AggregatePartCustomer	Mfg	Input	Y	N	N	Y	Y	N		Y
AggregatePartCustomerType	Mfg	Input	Y	N	N	Y	N	Y		Y
Allocation	Mfg	Input	N	N	N	Y	N	N	Part,ScheduledReceipt	Y
AllotmentOverride	Mfg	Input	Y	N	N	Y	Y	Y		Y
AllotmentOverrideDetail	Mfg	Input	Y	N	N	Y	Y	N		Y
AllotmentOverrideType	Mfg	Input	Y	N	N	Y	N	Y		Y
AlternatePart	Mfg	Input	Y	N	N	Y	N	N		Y
AlternatePartType	Mfg	Input	Y	N	N	Y	N	Y		Y
AlternateRouting	Mfg	Input	N	N	N	Y	N	N	Part,Routing	Y
AnalyticsConfiguration	Mfg	Input	Y	N	N	Y	N	N		Y
Assumption	Mfg	Input	Y	N	N	Y	N	N		Y
AssumptionByConstraint	Mfg	Input	Y	N	N	Y	N	N		Y
AssumptionByPart	Mfg	Input	Y	N	N	Y	N	N		Y
AssumptionByPartCustomer	Mfg	Input	Y	N	N	Y	N	N		Y
AssumptionByPartSource	Mfg	Input	Y	N	N	Y	N	N		Y
AssumptionStatus	Mfg	Input	Y	N	N	Y	N	Y		Y
AssumptionType	Mfg	Input	Y	N	N	Y	N	Y		Y
AutomatedLeadTimeType	Mfg	Input	Y	N	N	Y	Y	Y		Y
AutomatedYieldType	Mfg	Input	Y	N	N	Y	Y	Y		Y
AvailableRule	Mfg	Input	Y	N	N	Y	N	Y		Y
AvailableToPromise	Mfg	Calculated	N	N	N	Y	N	N		Y
BaselinePlannedOrder	Mfg	Input	N	N	N	Y	N	N	Part,DueDate	Y
Batch	Mfg	Input	Y	N	N	Y	N	N		Y
BatchStatus	Mfg	Input	Y	N	N	Y	N	Y		Y
BestFitProfile	Mfg	Input	Y	N	N	Y	N	Y		Y
BestFitProfileDetail	Mfg	Input	Y	N	N	Y	N	N		Y
BillOfMaterial	Mfg	Input	N	N	N	Y	N	N	Assembly,Component	Y
BillOfMaterialFeatureRule	Mfg	Calculated	N	N	N	Y	N	N		Y
BlowThroughNewAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
BlowThroughPlannedAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
BOM_MUECumLead	Mfg	Calculated	N	N	N	Y	N	N		Y
BOMAlternate	Mfg	Input	Y	N	N	Y	N	Y		Y
BOMType	Mfg	Input	Y	N	N	Y	N	Y		Y
BuyerCode	Mfg	Input	Y	N	N	Y	Y	Y		Y
Capacity	Mfg	Input	N	N	N	Y	N	N	Workcenter,EffectiveInDate	Y
CapacityOverride	Mfg	Input	Y	N	N	Y	N	N		Y
Carrier	Mfg	Input	Y	N	N	Y	Y	Y		Y
CausalFactor	Mfg	Input	Y	N	N	Y	Y	N		Y
CausalFactorCategory	Mfg	Input	Y	N	N	Y	Y	Y		Y
CausalFactorDetail	Mfg	Input	Y	N	N	Y	N	N		Y
CausalFactorDetail_Notes	Mfg	Input	N	N	N	Y	N	N	CausalFactorDetail,UserId,Timestamp	Y
Cluster	Mfg	Input	Y	N	N	Y	N	N		Y
ClusterProperty	Mfg	Input	Y	N	N	Y	N	N		Y
CoByProductSupply	Mfg	Calculated	N	N	N	Y	N	N		Y
CollaborativeForecast	Mfg	Input	N	N	N	Y	N	N	Part,BucketDate	Y
ConsensusForecast	Mfg	Calculated	N	N	N	Y	N	N		Y
ConsensusForecastDetail	Mfg	Calculated	N	N	N	Y	N	N		Y
ConsensusForecastRollingHorizon	Mfg	Input	Y	N	N	Y	N	N		Y
ConsensusForecastRollingHorizonWeight	Mfg	Calculated	N	N	N	Y	N	N		Y
ConsensusForecastWeightByHeader	Mfg	Calculated	N	N	N	Y	N	N		Y
Constraint	Mfg	Input	Y	N	N	Y	N	N		Y
ConstraintAvailable	Mfg	Input	N	N	N	Y	N	N	Constraint,EffectiveInDate	Y
ConstraintGroup	Mfg	Input	Y	N	N	Y	Y	Y		Y
ConstraintLoad	Mfg	Calculated	N	N	N	Y	N	N		Y
ConstraintSpreadLoad	Mfg	Calculated	N	N	N	Y	N	N		Y
ConstraintType	Mfg	Input	Y	N	N	Y	N	Y		Y
ConstraintUnitOfMeasure	Mfg	Input	Y	N	N	Y	N	Y		Y
ConstraintUsed	Mfg	Calculated	N	N	N	Y	N	N		Y
CostOfGoodsSold	Mfg	Calculated	N	N	N	Y	N	N		Y
CostRollUp	Mfg	Calculated	N	N	N	Y	N	N		Y
CRPOperation	Mfg	Input	Y	N	N	Y	N	N		Y
CRPOperationState	Mfg	Input	Y	N	N	Y	N	N		Y
CRPUnitOfMeasure	Mfg	Input	Y	N	N	Y	N	Y		Y
CTPActivity	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPCoByProductSupply	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPForecast	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPForecastCost	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPPlannedOrder	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPSafetyStockHoldings	Mfg	Calculated	N	N	N	Y	N	N		Y
CTPSubstituteSupply	Mfg	Calculated	N	N	N	Y	N	N		Y
CurveParameters	Mfg	Input	Y	N	N	Y	N	Y		Y
Customer	Mfg	Input	Y	N	N	Y	Y	N		Y
CustomerDestination	Mfg	Input	Y	N	N	Y	Y	N		Y
CustomerGroup	Mfg	Input	Y	N	N	Y	Y	N		Y
CustomerPrice	Mfg	Input	Y	N	N	Y	N	N		Y
DaysSupplyPolicy	Mfg	Input	Y	N	N	Y	N	Y		Y
DDMRPRule	Mfg	Input	Y	N	N	Y	N	Y		Y
DeliveryRoute	Mfg	Input	Y	N	N	Y	Y	N		Y
Demand	Mfg	Calculated	N	N	N	Y	N	N		Y
DemandException	Mfg	Calculated	N	N	N	Y	N	N		Y
DemandOrder	Mfg	Input	Y	N	N	Y	Y	N		Y
DemandStatus	Mfg	Input	Y	N	N	Y	N	Y		Y
DemandType	Mfg	Input	Y	N	N	Y	N	Y		Y
Department	Mfg	Input	Y	N	N	Y	N	N		Y
DependentConsensusForecast	Mfg	Calculated	N	N	N	Y	N	N		Y
DependentDemand	Mfg	Calculated	N	N	N	Y	N	N		Y
DirectAssembly	Mfg	Calculated	N	N	N	Y	N	N		Y
DirectComponent	Mfg	Calculated	N	N	N	Y	N	N		Y
DisaggregationActualByPartCustomer	Mfg	Calculated	N	N	N	Y	N	N		Y
DisaggregationRateByPartCustomer	Mfg	Calculated	N	N	N	Y	N	N		Y
DistributionPlanningRule	Mfg	Input	Y	N	N	Y	N	Y		Y
EngineeringChange	Mfg	Input	Y	N	N	Y	Y	N		Y
EngineeringChange_Notes	Mfg	Input	N	N	N	Y	N	N	EngineeringChange,UserId,Timestamp	Y
Event	Mfg	Input	Y	N	N	Y	N	Y		Y
EventConsensusForecastDetail	Mfg	Calculated	N	N	N	Y	N	N		Y
EventDisaggregationRate	Mfg	Calculated	N	N	N	Y	N	N		Y
EventForecastDetailAdjustment	Mfg	Calculated	N	N	N	Y	N	N		Y
EventPhase	Mfg	Input	Y	N	N	Y	N	N		Y
EventPhaseHeader	Mfg	Input	Y	N	N	Y	N	N		Y
EventStatisticalDisaggregationRate	Mfg	Calculated	N	N	N	Y	N	N		Y
EventStatisticalForecastDetail	Mfg	Calculated	N	N	N	Y	N	N		Y
EventStatisticalForecastDetailAdjustment	Mfg	Calculated	N	N	N	Y	N	N		Y
EventType	Mfg	Input	Y	N	N	Y	Y	Y		Y
ExpiryType	Mfg	Input	Y	N	N	Y	N	Y		Y
Feature	Mfg	Input	Y	N	N	Y	N	Y		Y
FeatureBOMForIndependentDemand	Mfg	Calculated	N	N	N	Y	N	N		Y
FeatureMap	Mfg	Input	Y	N	N	Y	N	Y		Y
FlatAssembly	Mfg	Calculated	N	N	N	Y	N	N		Y
FlatBillDown	Mfg	Calculated	N	N	N	Y	N	N		Y
FlatBillUp	Mfg	Calculated	N	N	N	Y	N	N		Y
FlatComponent	Mfg	Calculated	N	N	N	Y	N	N		Y
FlatConstraint	Mfg	Calculated	N	N	N	Y	N	N		Y
FlatDemand	Mfg	Calculated	N	N	N	Y	N	N		Y
FLPConstraint	Mfg	Calculated	N	N	N	Y	N	N		Y
Forecast	Mfg	Calculated	N	N	N	Y	N	N		Y
ForecastConsumption	Mfg	Calculated	N	N	N	Y	N	N		Y
ForecastDetail	Mfg	Input	Y	N	Y	Y	N	N		Y
ForecastDisaggregationOverride	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastDisaggregationParameters	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastDisaggregationParametersByCategory	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItem	Mfg	Input	Y	N	N	Y	N	Y		Y
ForecastItemFitOutput	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItemParameters	Mfg	Input	Y	N	N	Y	Y	N		Y
ForecastItemParametersActual	Mfg	Calculated	N	N	N	Y	N	N		Y
ForecastItemParametersFitOutput	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItemParametersMap	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItemParametersOutlier	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItemParametersOutlier_Notes	Mfg	Input	N	N	N	Y	N	N	ForecastItemParametersOutlier,UserId,Timestamp	Y
ForecastItemParametersRegressionCoefficient	Mfg	Input	Y	N	N	Y	N	N		Y
ForecastItemParametersRegressionWeight	Mfg	Calculated	N	N	N	Y	N	N		Y
ForecastItemParametersRegressor	Mfg	Calculated	N	N	N	Y	N	N		Y
ForecastItemParametersType	Mfg	Input	Y	N	N	Y	N	Y		Y
GroupPlanningOrder	Mfg	Calculated	N	N	N	Y	N	N		N	GroupPlanning
GroupPlanningPolicy	Mfg	Input	Y	N	N	Y	N	Y		N	GroupPlanning
HistoricalDemandActual	Mfg	Input	Y	Y	Y	Y	N	N		Y
HistoricalDemandCategory	Mfg	Input	Y	N	N	Y	Y	Y		Y
HistoricalDemandCategoryRollingWeight	Mfg	Input	Y	N	N	Y	N	N		Y
HistoricalDemandCategoryType	Mfg	Input	Y	N	N	Y	N	Y		Y
HistoricalDemandHeader	Mfg	Input	Y	Y	N	Y	Y	N		Y
HistoricalDemandHeaderRollingWeight	Mfg	Input	Y	N	N	Y	N	N		Y
HistoricalDemandHeaderTimePhasedAttributes	Mfg	Input	Y	N	N	Y	N	N		Y
HistoricalDemandSeries	Mfg	Input	Y	Y	N	Y	N	N		Y
HistoricalDemandSeriesDetail	Mfg	Input	Y	Y	Y	Y	N	N		Y
HistoricalDemandWaterfall	Mfg	Calculated	N	N	N	Y	N	N		Y
HistoricalPartKPI	Mfg	Input	N	Y	N	Y	N	N	Part,KPI,Date	Y
HistoricalReceipt	Mfg	Input	Y	Y	N	Y	N	N		Y
HistoricalReceiptHeader	Mfg	Input	Y	Y	N	Y	Y	N		Y
HistoricalSupplyActual	Mfg	Input	Y	Y	Y	Y	N	N		Y
HistoricalSupplyCategory	Mfg	Input	Y	N	N	Y	Y	Y		Y
HistoricalSupplyHeader	Mfg	Input	Y	Y	N	Y	Y	N		Y
HistoricalSupplySeries	Mfg	Input	Y	Y	N	Y	N	N		Y
HistoricalSupplySeriesDetail	Mfg	Input	Y	Y	Y	Y	N	N		Y
HistoricalSupplyWaterfall	Mfg	Calculated	N	N	N	Y	N	N		Y
ImportedStatisticalForecast	Mfg	Input	Y	N	Y	Y	N	N		Y
IncrementalRule	Mfg	Input	Y	N	N	Y	N	Y		Y
IndependentDemand	Mfg	Input	Y	N	N	Y	N	N		Y
IndependentDemand_Notes	Mfg	Input	N	N	N	Y	N	N	IndependentDemand,UserId,Timestamp	Y
IndependentDemandByFeature	Mfg	Calculated	N	N	N	Y	N	N		Y
IndependentDemandCost	Mfg	Calculated	N	N	N	Y	N	N		Y
IndependentDemandFeature	Mfg	Calculated	N	N	N	Y	N	N		Y
IndependentDemandFeatureList	Mfg	Input	Y	N	Y	Y	N	N		Y
IndependentDemandFeatureSummary	Mfg	Calculated	N	N	N	Y	N	N		Y
InProcess	Mfg	Calculated	N	N	N	Y	N	N		Y
InventoryAnalysis	Mfg	Calculated	N	N	N	Y	N	N		Y
InventoryCTPAnalysis	Mfg	Calculated	N	N	N	Y	N	N		Y
InventorySummary	Mfg	Calculated	N	N	N	Y	N	N		Y
InventoryTransfer	Mfg	Input	Y	N	N	Y	N	N		Y
InventoryTransferType	Mfg	Input	Y	N	N	Y	N	Y		Y
ItemSource	Mfg	Input	Y	N	N	Y	N	N		Y
ItemSourceCandidate	Mfg	Calculated	N	N	N	Y	N	N		Y
ItemSourceFitOutput	Mfg	Input	Y	N	N	Y	N	N		Y
ItemSourceFitOutputClass	Mfg	Input	Y	N	N	Y	N	Y		Y
ItemSourceFitOutputForecastModel	Mfg	Input	Y	N	N	Y	N	Y		Y
ItemSourceFitOutputValueName	Mfg	Input	Y	N	N	Y	N	Y		Y
ItemSourceHistoricalSupplyCategory	Mfg	Input	Y	N	N	Y	N	N		Y
ItemSourceIntervalEffectivePartSource	Mfg	Calculated	N	N	N	Y	N	N		Y
ItemSourcePartSourceEffectivityInterval	Mfg	Calculated	N	N	N	Y	N	N		Y
ItemSourcePartSourceHistoricalLeadTime	Mfg	Calculated	N	N	N	Y	N	N		Y
